title, address, introduce, star, startime, tags, totalPrice, unitPrice
熙湖二期  精装修 房主诚心出售 看房方便。,天山熙湖二期 - 天山海世界,3室2厅 | 125.42平米 | 南 北 | 简装 | 低楼层(共34层)  | 板楼,1人关注 , 5个月以前发布,VR房源 | 房本满两年 | 随时看房,179万元,"14,273元/平"
精装修，自住房，采光视野好，诚心卖。,想象国际南区 - 天山海世界,2室1厅 | 65.16平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,3人关注 , 2个月以前发布,VR看装修 | 房本满五年,78万元,"11,971元/平"
洋房社区，房龄新，满两年，无大税，视野好,天山国宾壹号 - 天山海世界,2室2厅 | 76.27平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,1人关注 , 2个月以前发布,近地铁 | VR看装修 | 房本满两年,110万元,"14,423元/平"
红石原著 通透三居室 中间楼层 采光无遮挡,红石原著小区 - 富力,3室2厅 | 117.88平米 | 南 | 简装 | 中楼层(共34层)  | 板楼,2人关注 , 7个月以前发布,近地铁 | VR看装修 | 房本满五年 | 随时看房,144万元,"12,216元/平"
满五唯一 精装三居室，好楼层，业主诚心出售,雍雅锦江 - 天山海世界,3室2厅 | 121.4平米 | 南 东 | 精装 | 高楼层(共33层)  | 板楼,0人关注 , 3个月以前发布,近地铁 | VR看装修 | 房本满五年 | 随时看房,149万元,"12,274元/平"
熙湖二期 多层洋房 大三居 带地下室 毛坯有钥匙,天山熙湖二期 - 天山海世界,3室2厅 | 145平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 板楼,15人关注 , 一年前发布,VR看装修 | 房本满两年 | 随时看房,310万元,"21,380元/平"
毛坯跃层 实际使用面积150平，楼层好，可塑性强,天山熙湖 - 天山海世界,3室2厅 | 106平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 塔楼,6人关注 , 11个月以前发布,近地铁 | VR房源 | 房本满五年 | 随时看房,128万元,"12,076元/平"
全屋环保家具定制 房本够两年 看房联系我,保利茉莉公馆 - 天山海世界,3室2厅 | 136.02平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,0人关注 , 8个月以前发布,VR房源 | 房本满两年 | 随时看房,183万元,"13,454元/平"
水榭花都 电梯两室 南向阳面户型 精装修,天山水榭花都 - 天山海世界,2室2厅 | 87.1平米 | 南 | 简装 | 中楼层(共32层)  | 板楼,7人关注 , 11个月以前发布,VR看装修 | 房本满五年 | 随时看房,88万元,"10,104元/平"
国宾小三室 双阳 满二 带地下室 随时签约,天山国宾壹号 - 天山海世界,3室2厅 | 104.51平米 | 东 南 | 精装 | 低楼层(共34层)  | 板楼,4人关注 , 6个月以前发布,近地铁 | VR看装修 | 房本满两年 | 随时看房,153万元,"14,640元/平"
精英旁 洋房社区 双阳卧三居室 通透户型,润都荣园 - 富力,3室2厅 | 111.49平米 | 南 | 毛坯 | 低楼层(共24层)  | 板楼,41人关注 , 一年前发布,
